ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a Public School based table with the following filters applied: State(s) (All Years): All 50 + DC; Highest Grade Offered [Public School] (All Years: 2015-16): 12th Grade; Lowest Grade Offered [Public School] (All Years: 2015-16): 9th Grade

School Name,State Name [Public School] Latest available year,Web Site URL [Public School] 2015-16,State Abbr [Public School] Latest available year,School Type [Public School] 2015-16,Charter School [Public School] 2015-16,Magnet School [Public School] 2015-16,Urban-centric Locale [Public School] 2015-16,Total Students All Grades (Excludes AE) [Public School] 2015-16,Lowest Grade Offered [Public School] 2015-16,Highest Grade Offered [Public School] 2015-16,Total Race/Ethnicity [Public School] 2015-16,American Indian/Alaska Native Students [Public School] 2015-16,Asian or Asian/Pacific Islander Students [Public School] 2015-16,Hispanic Students [Public School] 2015-16,Black Students [Public School] 2015-16,White Students [Public School] 2015-16,Hawaiian Nat./Pacific Isl. Students [Public School] 2015-16,Two or More Races Students [Public School] 2015-16,Pupil/Teacher Ratio [Public School] 2015-16,Full-Time Equivalent (FTE) Teachers [Public School] 2015-16
NORCROSS HIGH SCHOOL,Georgia,†,GA ,1-Regular school,2-No,2-No,21-Suburb: Large,3753,9th Grade,12th Grade,3753,9,235,1613,1178,590,6,122,18.30,205.10
NORDHOFF HIGH,California,†,CA ,1-Regular school,2-No,2-No,21-Suburb: Large,758,9th Grade,12th Grade,758,7,18,260,10,453,="0",10,23.63,32.08
NORDONIA HIGH SCHOOL,Ohio,†,OH ,1-Regular school,2-No,–,21-Suburb: Large,1240,9th Grade,12th Grade,1240,2,37,19,175,965,="0",42,16.75,74.02
NORFOLK COUNTY AGRICULTURAL,Massachusetts,www.norfolkaggie.org,MA ,3-Vocational school,2-No,2-No,21-Suburb: Large,524,9th Grade,12th Grade,524,2,6,13,8,483,="0",12,10.04,52.20
NORFOLK SENIOR HIGH SCHOOL,Nebraska,†,NE ,1-Regular school,†,†,33-Town: Remote,1239,9th Grade,12th Grade,1239,34,9,320,40,799,4,33,15.78,78.53
NORMAL COMMUNITY HIGH SCHOOL,Illinois,†,IL ,1-Regular school,2-No,2-No,41-Rural: Fringe,2052,9th Grade,12th Grade,2052,11,178,161,239,1358,8,97,17.93,114.42
NORMAL COMMUNITY WEST HIGH SCHOOL,Illinois,†,IL ,1-Regular school,2-No,2-No,22-Suburb: Mid-size,1641,9th Grade,12th Grade,1641,4,15,94,215,1206,3,104,18.58,88.31
NORMAN HS,Oklahoma,www.norman.k12.ok.us,OK ,1-Regular school,2-No,†,22-Suburb: Mid-size,2001,9th Grade,12th Grade,2001,127,47,237,168,1184,2,236,18.82,106.33
NORMANDY HIGH,Missouri,www.normandysd.org,MO ,1-Regular school,2-No,2-No,21-Suburb: Large,672,9th Grade,12th Grade,672,="0",3,4,648,17,="0",="0",16.90,39.76
NORMANGEE H S,Texas,www.normangeeisd.org,TX ,1-Regular school,2-No,2-No,43-Rural: Remote,179,9th Grade,12th Grade,179,1,="0",17,14,144,="0",3,12.31,14.54
NORRIS CITY-OMAHA-ENFIELD H S,Illinois,†,IL ,1-Regular school,2-No,2-No,43-Rural: Remote,197,9th Grade,12th Grade,197,="0",="0",4,2,190,="0",1,11.94,16.50
NORRIS HIGH SCHOOL,Nebraska,†,NE ,1-Regular school,†,†,42-Rural: Distant,645,9th Grade,12th Grade,645,1,11,28,4,599,="0",2,15.41,41.85
NORRISTOWN AREA HS,Pennsylvania,†,PA ,1-Regular school,2-No,2-No,21-Suburb: Large,1658,9th Grade,12th Grade,1658,3,31,470,738,376,="0",40,13.58,122.10
NORTE VISTA HIGH,California,†,CA ,1-Regular school,2-No,2-No,11-City: Large,2243,9th Grade,12th Grade,2243,5,34,2036,38,115,7,8,25.06,89.50
NORTH 13TH ST TECH,New Jersey,†,NJ ,3-Vocational school,2-No,†,11-City: Large,677,9th Grade,12th Grade,677,2,6,390,261,7,10,1,11.52,58.75
NORTH ACADEMY ARTS/COMMUNICATION,Minnesota,http://www.mpls.k12.mn.us/,MN ,1-Regular school,2-No,2-No,11-City: Large,289,9th Grade,12th Grade,289,2,7,7,250,21,="0",2,8.58,33.68
NORTH ALLEGHENY HS,Pennsylvania,†,PA ,1-Regular school,2-No,2-No,21-Suburb: Large,2693,9th Grade,12th Grade,2693,1,330,24,59,2261,6,12,15.22,176.98
NORTH ANDOVER HIGH,Massachusetts,†,MA ,1-Regular school,2-No,2-No,21-Suburb: Large,1405,9th Grade,12th Grade,1405,2,94,99,36,1145,8,21,15.97,87.96
NORTH ANDREW HIGH,Missouri,northandrew.org,MO ,1-Regular school,2-No,2-No,42-Rural: Distant,117,9th Grade,12th Grade,117,="0",="0",="0",="0",115,="0",2,10.20,11.47
NORTH ARK COLLEGE SECONDARY CENTER,Arkansas,www.northark.cc.ar.us,AR ,3-Vocational school,2-No,2-No,33-Town: Remote,="0",9th Grade,12th Grade,="0",="0",="0",="0",="0",="0",="0",="0",†,="0.00"
NORTH ARLINGTON HIGH SCHOOL,New Jersey,†,NJ ,1-Regular school,2-No,†,21-Suburb: Large,482,9th Grade,12th Grade,482,="0",16,167,9,290,="0",="0",10.48,46.00
NORTH ATLANTA HIGH SCHOOL,Georgia,†,GA ,1-Regular school,2-No,2-No,11-City: Large,1734,9th Grade,12th Grade,1734,2,41,356,712,572,2,49,16.13,107.50
NORTH ATTLEBORO HIGH,Massachusetts,http://www.edline.net/pages/North_Attleborough_High_School,MA ,1-Regular school,2-No,2-No,21-Suburb: Large,1172,9th Grade,12th Grade,1172,4,61,45,27,1017,="0",18,15.58,75.24
NORTH AUGUSTA HIGH,South Carolina,†,SC ,1-Regular school,2-No,2-No,21-Suburb: Large,1538,9th Grade,12th Grade,1538,4,9,89,533,864,3,36,18.53,83.00
NORTH BABYLON HIGH SCHOOL,New York,www.northbabylonschools.net,NY ,1-Regular school,2-No,2-No,21-Suburb: Large,1494,9th Grade,12th Grade,1494,3,68,307,357,744,–,15,14.63,102.09
NORTH BALDWIN CTR FOR TECH,Alabama,www.nbctschool.com,AL ,3-Vocational school,2-No,2-No,32-Town: Distant,–,9th Grade,12th Grade,="0",–,–,–,–,–,–,–,–,8.50
NORTH BALTIMORE HIGH SCHOOL,Ohio,†,OH ,1-Regular school,2-No,–,32-Town: Distant,160,9th Grade,12th Grade,160,="0",="0",7,="0",147,="0",6,13.17,12.15
NORTH BAY HAVEN CAREER ACADEMY,Florida,www.nbhca.ws,FL ,1-Regular school,1-Yes,2-No,41-Rural: Fringe,659,9th Grade,12th Grade,659,5,22,29,50,527,="0",26,18.83,35.00
NORTH BEACH SENIOR HIGH SCHOOL,Washington,†,WA ,1-Regular school,2-No,–,41-Rural: Fringe,201,9th Grade,12th Grade,201,19,2,21,7,138,="0",14,17.95,11.20
NORTH BEND SENIOR HIGH SCHOOL,Oregon,www.nbhs.nbend.k12.or.us/,OR ,1-Regular school,2-No,†,33-Town: Remote,599,9th Grade,12th Grade,599,27,6,61,2,447,1,55,24.43,24.52
NORTH BERGEN HIGH SCHOOL,New Jersey,†,NJ ,1-Regular school,2-No,†,21-Suburb: Large,2512,9th Grade,12th Grade,2512,="0",70,2139,37,262,3,1,15.53,161.76
NORTH BOONE HIGH SCHOOL,Illinois,†,IL ,1-Regular school,2-No,2-No,41-Rural: Fringe,522,9th Grade,12th Grade,522,4,4,130,6,360,="0",18,16.43,31.78
NORTH BORDER-PEMBINA HIGH SCHOOL,North Dakota,http://www.northborder.k12.nd.us,ND ,1-Regular school,†,†,43-Rural: Remote,41,9th Grade,12th Grade,41,="0",="0",="0",2,39,="0",="0",5.13,8.00
NORTH BORDER-WALHALLA HIGH SCHOOL,North Dakota,http://www.northborder.k12.nd.us,ND ,1-Regular school,†,†,43-Rural: Remote,78,9th Grade,12th Grade,78,9,1,2,="0",63,="0",3,7.09,11.00
NORTH BRANCH SENIOR HIGH,Minnesota,http://www.northbranch.k12.mn.us,MN ,1-Regular school,2-No,2-No,32-Town: Distant,825,9th Grade,12th Grade,825,4,7,15,8,781,1,9,15.68,52.60
NORTH BRANFORD HIGH SCHOOL,Connecticut,www.northbranfordschools.org,CT ,1-Regular school,2-No,2-No,21-Suburb: Large,579,9th Grade,12th Grade,579,3,14,29,7,526,="0",="0",11.05,52.40
NORTH BRUNSWICK HIGH,North Carolina,www.co.brunswick.k12.nc.us/education/school/school.php?sectionid=10,NC ,1-Regular school,2-No,2-No,22-Suburb: Mid-size,1061,9th Grade,12th Grade,1061,13,9,129,273,593,1,43,15.18,69.90
NORTH BRUNSWICK TOWNSHIP HIGH SCHOOL,New Jersey,†,NJ ,1-Regular school,2-No,†,21-Suburb: Large,1787,9th Grade,12th Grade,1787,="0",402,574,392,402,4,13,12.21,146.40
NORTH BULLITT HIGH SCHOOL,Kentucky,†,KY ,1-Regular school,†,2-No,21-Suburb: Large,1245,9th Grade,12th Grade,1245,3,10,41,21,1145,1,24,17.92,69.47
NORTH BUNCOMBE HIGH,North Carolina,www.nbhs.buncombe.k12.nc.us/,NC ,1-Regular school,2-No,2-No,21-Suburb: Large,1129,9th Grade,12th Grade,1129,7,5,114,4,974,="0",25,17.65,63.95
NORTH CADDO HIGH SCHOOL,Louisiana,†,LA ,1-Regular school,2-No,2-No,32-Town: Distant,373,9th Grade,12th Grade,373,3,2,10,156,197,="0",5,8.11,45.97
NORTH CALLAWAY HIGH,Missouri,nc.k12.mo.us,MO ,1-Regular school,2-No,2-No,42-Rural: Distant,377,9th Grade,12th Grade,377,2,3,6,7,348,1,10,12.26,30.75
NORTH CANYON HIGH SCHOOL,Arizona,www.pvschools.net,AZ ,1-Regular school,2-No,–,11-City: Large,1894,9th Grade,12th Grade,1894,36,61,990,98,657,2,50,21.87,86.60
NORTH CAROLINE HIGH SCHOOL,Maryland,http://cl.k12.md.us/NCHS/index.html,MD ,1-Regular school,2-No,2-No,41-Rural: Fringe,1016,9th Grade,12th Grade,1016,3,6,118,131,685,="0",73,15.05,67.50
NORTH CARROLL HIGH,Maryland,http://www.carrollk12.org/nch/,MD ,1-Regular school,2-No,2-No,21-Suburb: Large,700,9th Grade,12th Grade,700,2,13,39,19,619,="0",8,14.29,49.00
NORTH CENTRAL HIGH,South Carolina,†,SC ,1-Regular school,2-No,2-No,42-Rural: Distant,466,9th Grade,12th Grade,466,2,3,26,108,308,="0",19,14.12,33.00
NORTH CENTRAL HIGH SCHOOL,Indiana,†,IN ,1-Regular school,2-No,2-No,42-Rural: Distant,309,9th Grade,12th Grade,309,="0",1,5,1,295,="0",7,14.05,22.00
NORTH CENTRAL HIGH SCHOOL,Indiana,†,IN ,1-Regular school,2-No,2-No,11-City: Large,3636,9th Grade,12th Grade,3636,2,150,491,1488,1277,1,227,20.63,176.27
NORTH CENTRAL REGIONAL,Missouri,†,MO ,4-Alternative/other school,2-No,2-No,32-Town: Distant,="0",9th Grade,12th Grade,="0",="0",="0",="0",="0",="0",="0",="0",–,–
NORTH CENTRAL VOCATIONAL CENTER,Arkansas,http://scsd.info,AR ,3-Vocational school,2-No,2-No,43-Rural: Remote,="0",9th Grade,12th Grade,="0",="0",="0",="0",="0",="0",="0",="0",†,="0.00"
NORTH CHARLESTON HIGH,South Carolina,†,SC ,1-Regular school,2-No,2-No,12-City: Mid-size,525,9th Grade,12th Grade,525,="0",2,45,444,25,="0",9,8.63,60.80
NORTH CHICAGO COMMUNITY HIGH SCH,Illinois,†,IL ,1-Regular school,2-No,2-No,21-Suburb: Large,811,9th Grade,12th Grade,811,2,2,462,321,9,2,13,15.60,52.00
NORTH CLAY COMMUNITY HIGH SCHOOL,Illinois,†,IL ,1-Regular school,2-No,2-No,42-Rural: Distant,191,9th Grade,12th Grade,191,="0",="0",2,="0",188,="0",1,13.88,13.76
NORTH CLAYTON HIGH SCHOOL,Georgia,†,GA ,1-Regular school,2-No,2-No,21-Suburb: Large,890,9th Grade,12th Grade,890,3,21,54,792,6,1,13,20.94,42.50
NORTH CO. SR. HIGH,Missouri,www.ncsd.k12.mo.us,MO ,1-Regular school,2-No,2-No,41-Rural: Fringe,896,9th Grade,12th Grade,896,4,4,10,7,864,="0",7,15.83,56.60
NORTH COBB HIGH SCHOOL,Georgia,http://www.cobbk12.org/NorthCobb/,GA ,1-Regular school,2-No,1-Yes,21-Suburb: Large,2854,9th Grade,12th Grade,2854,2,135,442,979,1167,4,125,19.43,146.90
NORTH COLLEGE HILL HIGH SCHOOL,Ohio,†,OH ,1-Regular school,2-No,–,21-Suburb: Large,413,9th Grade,12th Grade,413,="0",6,4,332,53,="0",18,21.54,19.17
NORTH COUNTRY CAREER CENTER,Vermont,http://ncsucareer.sharpschool.net/,VT ,3-Vocational school,†,2-No,33-Town: Remote,="0",9th Grade,12th Grade,="0",="0",="0",="0",="0",="0",="0",="0",†,="0.00"
NORTH COUNTRY CHARTER ACADEMY (H),New Hampshire,www.northcountrycharteracademy.com,NH ,1-Regular school,1-Yes,2-No,33-Town: Remote,53,9th Grade,12th Grade,53,="0",="0",="0",="0",52,="0",1,15.14,3.50
NORTH COUNTRY SENIOR UHSD #22,Vermont,http://ncuhs.ncsuvt.org/,VT ,1-Regular school,†,2-No,33-Town: Remote,723,9th Grade,12th Grade,723,3,4,10,8,696,="0",2,8.17,88.50
NORTH COUNTY HIGH,Maryland,†,MD ,1-Regular school,2-No,2-No,21-Suburb: Large,2058,9th Grade,12th Grade,2058,6,81,241,524,1077,9,120,15.57,132.17
NORTH COUNTY REGIONAL OCCUPATIONAL PROGRAM,California,www.fuhsd.org,CA ,3-Vocational school,2-No,–,12-City: Mid-size,–,9th Grade,12th Grade,="0",–,–,–,–,–,–,–,–,–
NORTH COUNTY TRADE TECH HIGH,California,www.tradetechhigh.org,CA ,1-Regular school,1-Yes,2-No,21-Suburb: Large,161,9th Grade,12th Grade,161,="0",2,78,3,59,="0",19,14.73,10.93
NORTH CRAWFORD HIGH,Wisconsin,ncrawford.k12.wi.us,WI ,1-Regular school,2-No,2-No,43-Rural: Remote,150,9th Grade,12th Grade,150,="0",="0",7,3,137,="0",3,12.34,12.16
NORTH CROWLEY H S,Texas,www.crowley.k12.tx.us,TX ,1-Regular school,2-No,2-No,41-Rural: Fringe,2455,9th Grade,12th Grade,2455,30,151,619,1238,368,3,46,15.63,157.03
NORTH DALLAS H S,Texas,www.dallasisd.org/northdallas,TX ,1-Regular school,2-No,2-No,11-City: Large,1207,9th Grade,12th Grade,1207,5,45,939,193,20,="0",5,14.54,83.04
NORTH DAVIDSON HIGH,North Carolina,www.davidson.k12.nc.us/ndhs/index.htm,NC ,1-Regular school,2-No,2-No,41-Rural: Fringe,1550,9th Grade,12th Grade,1550,4,22,83,80,1320,2,39,16.94,91.51
NORTH DIVISION HIGH 0419,Wisconsin,www.milwaukee.k12.wi.us,WI ,1-Regular school,2-No,2-No,11-City: Large,490,9th Grade,12th Grade,490,1,="0",8,470,7,1,3,15.48,31.65
NORTH DORCHESTER HIGH SCHOOL,Maryland,http://www.ndhs.dcpsmd.net/,MD ,1-Regular school,2-No,2-No,42-Rural: Distant,489,9th Grade,12th Grade,489,="0",1,30,99,327,="0",32,13.13,37.25
NORTH DOUGLAS HIGH SCHOOL,Oregon,www.northdouglas.k12.or.us,OR ,1-Regular school,2-No,†,43-Rural: Remote,85,9th Grade,12th Grade,85,1,="0",11,="0",68,="0",5,11.33,7.50
NORTH EAST HIGH,Maryland,www.ccps.org/nehs/,MD ,1-Regular school,2-No,2-No,41-Rural: Fringe,1065,9th Grade,12th Grade,1065,2,10,40,76,893,1,43,13.99,76.10
NORTH EAST HIGH,Kansas,http://www.usd246.org,KS ,1-Regular school,2-No,2-No,42-Rural: Distant,161,9th Grade,12th Grade,161,3,="0",5,="0",150,="0",3,8.17,19.70
NORTH EAST HS,Pennsylvania,http://www.nesd1.org,PA ,1-Regular school,2-No,2-No,31-Town: Fringe,499,9th Grade,12th Grade,499,1,1,15,2,471,="0",9,14.22,35.10
NORTH EDGECOMBE HIGH,North Carolina,www.ecps.us/nehs/,NC ,1-Regular school,2-No,2-No,42-Rural: Distant,234,9th Grade,12th Grade,234,="0",="0",32,181,18,="0",3,10.06,23.25
NORTH EUGENE HIGH SCHOOL,Oregon,nehs.4j.lane.edu/,OR ,1-Regular school,2-No,†,12-City: Mid-size,911,9th Grade,12th Grade,911,21,17,170,10,618,4,71,21.70,41.99
NORTH FAYETTE HIGH SCHOOL,Iowa,www.n-fayette.k12.ia.us,IA ,1-Regular school,2-No,†,43-Rural: Remote,352,9th Grade,12th Grade,352,="0",3,6,3,332,1,7,11.64,30.24
NORTH FOREST H S,Texas,www.houstonisd.org,TX ,1-Regular school,2-No,2-No,11-City: Large,1013,9th Grade,12th Grade,1013,7,2,346,646,10,="0",2,18.04,56.14
NORTH FORNEY H S,Texas,†,TX ,1-Regular school,2-No,2-No,41-Rural: Fringe,1367,9th Grade,12th Grade,1367,9,33,313,229,738,5,40,16.44,83.15
NORTH FORSYTH HIGH,North Carolina,www.wsfcs.k12.nc.us/nfhs/site/default.asp,NC ,1-Regular school,2-No,2-No,12-City: Mid-size,1212,9th Grade,12th Grade,1212,1,7,423,465,265,4,47,13.83,87.65
NORTH FORSYTH HIGH SCHOOL,Georgia,www.forsyth.k12.ga.us/nfhs/site/default.asp,GA ,1-Regular school,2-No,2-No,21-Suburb: Large,2415,9th Grade,12th Grade,2415,6,36,261,44,1988,1,79,17.56,137.50
NORTH FORT MYERS HIGH SCHOOL,Florida,http://nfm.leeschools.net/,FL ,1-Regular school,2-No,2-No,21-Suburb: Large,1673,9th Grade,12th Grade,1673,3,32,298,87,1204,2,47,18.59,90.00
NORTH GARDENS HIGH SCHOOL,Florida,http://www.dadeschools.net,FL ,4-Alternative/other school,1-Yes,2-No,21-Suburb: Large,352,9th Grade,12th Grade,352,="0",1,131,210,10,="0",="0",39.11,9.00
NORTH GASTON HIGH,North Carolina,www.gaston.k12.nc.us/schools/ngaston/index.htm,NC ,1-Regular school,2-No,2-No,41-Rural: Fringe,1114,9th Grade,12th Grade,1114,2,6,91,164,807,="0",44,17.54,63.50
NORTH GREENE HIGH SCHOOL,Tennessee,www.greene,TN ,1-Regular school,2-No,2-No,42-Rural: Distant,399,9th Grade,12th Grade,399,3,1,3,1,390,1,="0",15.96,25.00
NORTH GWINNETT HIGH SCHOOL,Georgia,†,GA ,1-Regular school,2-No,2-No,21-Suburb: Large,2846,9th Grade,12th Grade,2846,2,564,237,334,1598,7,104,20.50,138.80
NORTH HAGERSTOWN HIGH,Maryland,†,MD ,1-Regular school,2-No,1-Yes,13-City: Small,1262,9th Grade,12th Grade,1262,2,36,104,272,740,2,106,16.83,75.00
NORTH HALL HIGH SCHOOL,Georgia,†,GA ,1-Regular school,2-No,2-No,41-Rural: Fringe,1073,9th Grade,12th Grade,1073,="0",6,123,13,912,2,17,16.36,65.60
NORTH HARDIN HIGH SCHOOL,Kentucky,†,KY ,1-Regular school,†,2-No,23-Suburb: Small,1531,9th Grade,12th Grade,1531,="0",26,155,408,824,21,97,18.64,82.13
NORTH HARFORD HIGH,Maryland,†,MD ,1-Regular school,2-No,2-No,42-Rural: Distant,1219,9th Grade,12th Grade,1219,2,16,28,21,1115,5,32,13.89,87.75
NORTH HARRISON HIGH SCHOOL,Indiana,†,IN ,1-Regular school,2-No,2-No,41-Rural: Fringe,692,9th Grade,12th Grade,692,2,1,15,1,667,="0",6,19.77,35.00
NORTH HAVEN HIGH SCHOOL,Connecticut,www.north-haven.k12.ct.us/hs/default.htm,CT ,1-Regular school,2-No,2-No,21-Suburb: Large,1000,9th Grade,12th Grade,1000,1,80,57,48,793,1,20,12.20,82.00
NORTH HENDERSON HIGH,North Carolina,www.hendersoncountypublicschoolsnc.org/nhh/,NC ,1-Regular school,2-No,2-No,21-Suburb: Large,1083,9th Grade,12th Grade,1083,3,15,264,30,736,3,32,15.51,69.83
NORTH HIGH,Massachusetts,http://north.worcesterschools.org,MA ,1-Regular school,2-No,2-No,12-City: Mid-size,1335,9th Grade,12th Grade,1335,6,103,595,279,316,="0",36,14.11,94.59
NORTH HIGH,Missouri,www.parkwayschools.net,MO ,1-Regular school,2-No,2-No,21-Suburb: Large,1236,9th Grade,12th Grade,1236,3,108,57,378,629,1,60,14.52,85.10
NORTH HIGH,California,†,CA ,1-Regular school,2-No,2-No,12-City: Mid-size,1901,9th Grade,12th Grade,1901,5,558,768,166,254,18,132,24.17,78.65
NORTH HIGH,California,www.kernhigh.org/north/,CA ,1-Regular school,2-No,2-No,21-Suburb: Large,1637,9th Grade,12th Grade,1637,20,16,449,52,1052,3,45,26.15,62.61
NORTH HIGH,Wisconsin,www.oshkosh.k12.wi.us,WI ,1-Regular school,2-No,2-No,13-City: Small,1268,9th Grade,12th Grade,1268,8,106,57,74,975,3,45,13.10,96.82
NORTH HIGH,Wisconsin,www.aasd.k12.wi.us,WI ,1-Regular school,2-No,2-No,13-City: Small,1599,9th Grade,12th Grade,1599,8,165,102,64,1255,3,2,18.40,86.90
NORTH HIGH,Wisconsin,www.ecasd.us/North-High-School/Home,WI ,1-Regular school,2-No,2-No,13-City: Small,1326,9th Grade,12th Grade,1326,8,185,47,33,1008,1,44,15.49,85.60
NORTH HIGH,Kansas,http://www.usd259.org,KS ,1-Regular school,2-No,2-No,11-City: Large,2161,9th Grade,12th Grade,2161,30,21,1385,190,440,2,93,17.23,125.40
NORTH HIGH,Wisconsin,www.sheboygan.k12.wi.us,WI ,1-Regular school,2-No,2-No,13-City: Small,1447,9th Grade,12th Grade,1447,4,282,177,50,906,1,27,16.33,88.59
NORTH HIGH,Wisconsin,www.waukesha.k12.wi.us,WI ,1-Regular school,2-No,2-No,13-City: Small,1152,9th Grade,12th Grade,1152,5,34,190,60,839,="0",24,17.37,66.34
NORTH HIGH SCHOOL,Ohio,†,OH ,1-Regular school,2-No,–,21-Suburb: Large,1356,9th Grade,12th Grade,1356,2,16,21,38,1239,="0",40,20.92,64.83
NORTH HIGH SCHOOL,Indiana,†,IN ,1-Regular school,2-No,2-No,41-Rural: Fringe,1524,9th Grade,12th Grade,1524,1,24,44,113,1224,1,117,11.13,136.89
NORTH HIGH SCHOOL,Colorado,http://north.dpsk12.org,CO ,1-Regular school,2-No,2-No,11-City: Large,933,9th Grade,12th Grade,933,11,5,744,66,92,1,14,14.17,65.85
NORTH HIGH SCHOOL,Iowa,†,IA ,1-Regular school,2-No,†,12-City: Mid-size,1259,9th Grade,12th Grade,1259,4,129,339,317,391,4,75,15.81,79.61
NORTH HIGH SCHOOL,Iowa,www.siouxcityschools.com,IA ,1-Regular school,2-No,†,13-City: Small,1460,9th Grade,12th Grade,1460,43,92,574,134,588,3,26,17.89,81.63
NORTH HIGH SCHOOL,Arizona,http://phoenixunion.schoolwires.net/Domain/17,AZ ,1-Regular school,2-No,–,11-City: Large,2563,9th Grade,12th Grade,2563,50,38,2110,166,147,3,49,18.99,135.00
NORTH HIGH SCHOOL,Iowa,www.davenportschools.org/north,IA ,1-Regular school,2-No,†,12-City: Mid-size,1158,9th Grade,12th Grade,1158,3,19,103,295,628,1,109,14.46,80.10
NORTH HIGH SCHOOL,North Dakota,http://www.fargo.k12.nd.us,ND ,1-Regular school,†,†,12-City: Mid-size,981,9th Grade,12th Grade,981,33,21,41,42,836,="0",8,14.49,67.70
NORTH HIGH SCHOOL ENGAGEMENT CENTER,Colorado,http://north.dpsk12.org/engagement-center-3/,CO ,4-Alternative/other school,2-No,2-No,11-City: Large,93,9th Grade,12th Grade,93,2,2,76,7,6,="0",="0",16.91,5.50
NORTH HILLS SHS,Pennsylvania,http://www.nhsd.net,PA ,1-Regular school,2-No,2-No,21-Suburb: Large,1437,9th Grade,12th Grade,1437,1,39,22,45,1318,="0",12,13.94,103.07
NORTH HOLLYWOOD SENIOR HIGH,California,www.nhhs.net,CA ,1-Regular school,2-No,1-Yes,11-City: Large,2610,9th Grade,12th Grade,2610,4,248,1815,114,392,2,35,26.77,97.50
NORTH HOUSTON EARLY COLLEGE H S,Texas,www.houstonisd.org,TX ,1-Regular school,1-Yes,1-Yes,11-City: Large,450,9th Grade,12th Grade,450,1,5,406,35,2,1,="0",24.38,18.46
NORTH HS,Oklahoma,edmondschools.net,OK ,1-Regular school,2-No,†,21-Suburb: Large,2644,9th Grade,12th Grade,2644,55,104,210,148,1946,1,180,22.57,117.15
NORTH HUNTERDON HIGH SCHOOL,New Jersey,†,NJ ,1-Regular school,2-No,†,21-Suburb: Large,1707,9th Grade,12th Grade,1707,5,83,62,35,1522,="0",="0",12.92,132.10
NORTH IOWA HIGH SCHOOL,Iowa,www.northiowa.org,IA ,1-Regular school,2-No,†,43-Rural: Remote,144,9th Grade,12th Grade,144,="0",4,10,="0",124,="0",6,12.30,11.71
NORTH IREDELL HIGH,North Carolina,www.iss.k12.nc.us/schools/nihs,NC ,1-Regular school,2-No,2-No,42-Rural: Distant,1151,9th Grade,12th Grade,1151,="0",13,143,55,917,1,22,18.24,63.10
NORTH JACKSON HIGH SCH,Alabama,†,AL ,1-Regular school,2-No,2-No,42-Rural: Distant,477,9th Grade,12th Grade,477,18,="0",31,48,371,1,8,19.78,24.11
NORTH JOHNSTON HIGH,North Carolina,njhs.johnston.k12.nc.us,NC ,1-Regular school,2-No,2-No,42-Rural: Distant,794,9th Grade,12th Grade,794,2,3,152,107,515,="0",15,14.70,54.01
NORTH JUDSON-SAN PIERRE HIGH SCH,Indiana,†,IN ,1-Regular school,2-No,2-No,42-Rural: Distant,356,9th Grade,12th Grade,356,="0",="0",26,="0",325,="0",5,12.61,28.23
NORTH KANSAS CITY HIGH,Missouri,http://www.nkcschools.org/nkchs/,MO ,1-Regular school,2-No,2-No,21-Suburb: Large,1476,9th Grade,12th Grade,1476,6,101,263,283,708,13,102,14.76,100.03
NORTH KERN VOCATIONAL TRAINING CENTER,California,www.nkvtc.org,CA ,3-Vocational school,2-No,–,32-Town: Distant,–,9th Grade,12th Grade,="0",–,–,–,–,–,–,–,–,–
NORTH KINGSTOWN SR. HIGH,Rhode Island,†,RI ,1-Regular school,2-No,†,21-Suburb: Large,1360,9th Grade,12th Grade,1360,10,42,36,12,1235,="0",25,13.47,101.00
NORTH KITSAP HIGH SCHOOL,Washington,http://www.nkschools.org/nh/site/default.asp,WA ,1-Regular school,2-No,–,22-Suburb: Mid-size,1133,9th Grade,12th Grade,1133,17,39,142,12,825,6,92,22.18,51.08
NORTH KNOX CAREER AND TECHNICAL EDUCATION CENTER,Tennessee,†,TN ,3-Vocational school,2-No,2-No,21-Suburb: Large,–,9th Grade,12th Grade,="0",–,–,–,–,–,–,–,–,7.00
NORTH LAKE HIGH SCHOOL,Michigan,www.lakeshoreschool.org,MI ,4-Alternative/other school,2-No,2-No,21-Suburb: Large,133,9th Grade,12th Grade,133,="0",="0",3,27,96,="0",7,26.60,5.00
NORTH LAKES ACADEMY 56,Minnesota,http://www.northlakesacademy.org,MN ,1-Regular school,1-Yes,2-No,31-Town: Fringe,212,9th Grade,12th Grade,212,3,4,2,3,196,="0",4,14.39,14.73
NORTH LAMAR H S,Texas,www.northlamar.net,TX ,1-Regular school,2-No,2-No,41-Rural: Fringe,840,9th Grade,12th Grade,840,14,11,56,49,696,="0",14,11.34,74.05
NORTH LAUREL HIGH SCHOOL,Kentucky,†,KY ,1-Regular school,†,2-No,33-Town: Remote,1421,9th Grade,12th Grade,1421,4,4,6,21,1380,="0",6,20.30,70.00
NORTH LAWNDALE CHARTER HS,Illinois,†,IL ,1-Regular school,1-Yes,2-No,11-City: Large,805,9th Grade,12th Grade,805,="0",="0",3,800,="0",="0",2,15.19,53.00
NORTH LAWRENCE CAREER CENTER,Indiana,†,IN ,3-Vocational school,2-No,2-No,41-Rural: Fringe,="0",9th Grade,12th Grade,="0",="0",="0",="0",="0",="0",="0",="0",†,="0.00"
